WBA3B9C51DJ591682,Right-sized 24/7 projection,Harley Davidson,FALSE,D1,FALSE,,2,Petrol,50,1,71,41
WBAVB13506K975623,Multi-lateral needs-based superstructure,Ducati,TRUE,,TRUE,Aviva,1,Diesel,50,1,59,36
JH4DB76611S323929,Multi-tiered context-sensitive projection,BMW,FALSE,D7,FALSE,,2,Diesel,50,1,65,23
5N1AR2MM1FC633287,Secured local encryption,Aprillia,TRUE,,TRUE,Intact Insurance,1,Petrol,50,1,57,32
3C6LD4AT1CG631333,Seamless national benchmark,Honda,FALSE,D1,TRUE,Aviva,2,Petrol,50,1,83,50
1GD11ZCG8DF109416,Automated intermediate analyzer,Honda,FALSE,,FALSE,,2,Diesel,50,1,71,22
1G4HR57Y37U441086,Polarised clear-thinking artificial intelligence,Yamaha,TRUE,,TRUE,Jevco,1,Petrol,50,1,52,31
5J6TF3H55FL307680,Ameliorated local encryption,Kawasaki,FALSE,D6,FALSE,,2,Petrol,50,1,60,40
WAUKH74F17N262385,Assimilated empowering firmware,BMW,FALSE,D6,TRUE,CAA Insurance Company,2,Diesel,50,1,61,39
JM1CW2CL1F0860981,Intuitive client-server concept,Suzuki,TRUE,,FALSE,,1,Diesel,50,1,90,36
